threshold,precision,recall,f1
0.1,0.935064935064935,1.0,0.9664429530201343
0.15,0.9473684210526315,1.0,0.972972972972973
0.2,0.972972972972973,1.0,0.9863013698630136
0.25,0.972972972972973,1.0,0.9863013698630136
0.3,0.972972972972973,1.0,0.9863013698630136
0.35,0.972972972972973,1.0,0.9863013698630136
0.4,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.45,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.5,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.55,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.6,0.9855072463768116,0.9444444444444444,0.9645390070921985
0.65,0.9852941176470589,0.9305555555555556,0.9571428571428572
0.7,0.9852941176470589,0.9305555555555556,0.9571428571428572
0.75,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.8,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.85,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.9,0.9838709677419355,0.8472222222222222,0.9104477611940298
0.95,1.0,0.75,0.8571428571428571
